id gender vitality type weight jump_length
830 fale 3 unkown 5.8 31.5
831 male 2 dog 4 27
832 female 3 cat 1.8 15.7
833 male 5 dog 4.5 26.1
834 fale 4 cat 3.6 36.1
835 male 5 dog 4.4 33.7
836 male 6 cat 2.6 32.8
837 fale 2 dog 4.9 30.2
838 male 2 dog 4.4 29.7
839 female 1 cat 1.8 13.8
840 female 4 cat 2.3 16.4
841 male 4 dog 4.4 32.1
842 male 7 cat 3.1 34.2
843 male 1 dog 3.3 24.3
844 male 2 dog 3.7 30.1
845 male 5 dog 4.2 32.2
846 male 4 dog 3.7 33.2
847 male 3 cat 2.5 26
848 male 1 dog 3.8 23.8
849 fale 2 dog 4.6 27.1
850 female 1 cat 2.7 13.9
851 male 3 dog 4.4 33.1
852 male 3 cat 2.3 29.1
853 male 1 cat 2.3 22.4
854 male 4 dog 4 24
855 fale 1 unkown 5.9 36.6
856 fale 2 cat 3 24.7
857 male 3 dog 3.7 26.6
858 male 3 cat 2.9 24.9
859 male 4 dog 4 31.8
860 male 5 dog 4.3 36
861 male 2 cat 2.8 20
862 male 2 dog 4.2 31.5
863 male 4 cat 2.3 31.1
864 male 4 cat 3 22.7
865 male 3 dog 4.2 30.4
866 male 4 cat 3.1 24.3
867 female 0 unkown 4.9 20.2
868 male 8 cat 3.4 38.7
869 male 5 dog 4.5 33.3
870 male 2 cat 3.1 27.6
871 female 9 dog 3.4 31.1
872 male 4 dog 3.5 25.6
873 fale 3 cat 3 26.4
874 male 3 dog 4.2 25.6
875 male 5 dog 4.5 27.1
876 male 3 cat 3.2 23.5
877 male 3 cat 3 28
878 female 0 cat 1.8 13.1
879 male 2 cat 2.6 22.3
880 male 6 dog 4 30.6
881 male 2 dog 4.4 30
882 male 5 cat 2.9 29.6
883 female 3 dog 3.3 17
884 male 5 dog 4.2 31.7
885 male 1 unkown 5.2 26.1
886 male 0 cat 3 21.4
887 male 2 dog 4.4 27.6
888 male 7 cat 2.3 36.3
889 male 0 unkown 5.4 23.3
890 male 2 dog 4.2 30.1
891 male 1 cat 2.7 20
892 female 5 dog 2.8 21.3
893 fale 2 dog 4.5 25.1
894 male 7 cat 3 26.5
895 male 4 cat 2.8 26.2
896 male 5 dog 3.7 32.5
897 male 3 cat 2.8 25.6
898 female 6 dog 3.3 25
899 male 4 cat 3.1 25.1
900 male 3 dog 4.3 33.4
901 male 0 cat 2.9 18.6
902 fale 2 dog 4.6 28
903 male 6 dog 4.4 37
904 male 2 dog 4.1 24.5
905 male 3 dog 3.9 30.8
906 male 3 dog 3.9 28.9
907 male 2 dog 4.1 26.6
908 male 3 dog 4.2 26.8
909 female 2 cat 2.6 14.8
910 male 1 cat 2.7 20.5
911 male 0 cat 3 20.8
912 male 2 cat 2.4 21.1
913 male 3 cat 2.9 24.1
914 male 6 dog 3.8 31.4
915 male 5 unkown 5.7 36.7
916 female 5 dog 3.9 21.5
917 male 4 dog 4.1 24.6
918 male 4 unkown 5.5 36.6
919 male 3 dog 4.1 22.2
920 male 3 cat 3.1 27.8
921 male 4 dog 4.1 30.2
922 male 4 dog 3.7 29.8
923 male 3 cat 2.6 24
924 male 5 cat 2.4 25.4
925 male 3 dog 3.9 26
926 male 4 dog 4.3 33
927 female 7 unkown 4.9 30.3
928 female 3 dog 4.1 16.2
929 male 2 cat 2.1 23.8
930 male 4 dog 3.9 30.6
931 male 1 cat 2.7 20.8
932 male 4 cat 2.7 25.6
933 fale 2 unkown 6.2 30.9
934 male 2 cat 3.3 21.9
935 male 7 dog 4.1 35.7
936 male 2 dog 3.9 27.9
937 male 2 dog 3.8 20.7
938 male 1 cat 2.9 23.5
939 female 4 cat 2 18.9
940 female 3 cat 2.9 14.3
941 female 1 cat 2.2 8.5
942 male 4 dog 4.1 33.3
943 fale 3 dog 4.1 34.2
944 male 3 cat 2.8 22.3
945 male 6 unkown 5.3 36.5
946 fale 1 dog 4.8 29.2
947 male 3 cat 2.8 27.5
948 fale 2 cat 3.5 29.8
949 male 8 cat 2.5 34.7
950 male 2 dog 4.1 25.9
951 female 5 cat 1.5 14.2
952 male 6 dog 3.7 38.2
953 male 10 cat 2.9 38.1
954 female 3 dog 3.9 17.9
955 male 2 dog 3.7 22.2
956 male 2 dog 3.9 24
957 female 2 dog 4.1 23
958 male 3 dog 4 32.9
959 male 2 unkown 6 31.2
960 male 5 unkown 5.2 34.6
961 male 3 dog 4.7 28
962 male 0 dog 3.5 24.8
963 male 2 cat 2.8 21.4
964 male 2 dog 4.3 26.8
965 male 3 dog 4.5 28.8
966 fale 6 dog 4.5 38.2
967 fale 4 cat 3.3 27.2
968 female 3 cat 1.8 12.7
969 male 5 dog 3.9 34.5
970 male 4 cat 2 26.5
